City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,sangmelima,2.9333,2.9333,20.08,99,19,1.36,CM,1726346816
137,la sarre,48.8002,48.8002,26.73,57,2,1.86,CA,1726346817
138,punta arenas,-53.15,-53.15,9.06,61,75,5.14,CL,1726346588
139,papatowai,-46.5619,-46.5619,6.62,96,100,1.35,NZ,1726346820
140,pathein,16.7833,16.7833,25.03,95,100,2.21,MM,1726346822
141,armacao de buzios,-22.7469,-22.7469,27.03,71,0,12.41,BR,1726346823
142,tura,25.5198,25.5198,22.77,95,98,2.27,IN,1726346299
143,olonkinbyen,70.9221,70.9221,1.72,67,38,3.1,SJ,1726346826
144,ilulissat,69.2167,69.2167,0.01,93,100,2.06,GL,1726346827
145,thunder bay,48.4001,48.4001,23.99,60,75,2.57,CA,1726346562
146,bardai,11.65,11.65,23.73,75,66,1.95,NG,1726346830
147,alvear,-29.0968,-29.0968,19.11,61,0,4.98,AR,1726346831
148,chonchi,-42.6128,-42.6128,10.07,87,100,3.5,CL,1726346832
149,talegaon dabhade,18.7167,18.7167,21.6,95,89,2.34,IN,1726346834
150,bredasdorp,-34.5322,-34.5322,10.1,92,0,1.25,ZA,1726346247
151,hawaiian paradise park,19.5933,19.5933,28.28,72,0,3.6,US,1726346837
152,sierra grande,-41.606,-41.606,15.37,19,61,8.91,AR,1726346838
153,muriti,-1.9833,-1.9833,25.1,52,4,3.48,TZ,1726346839
154,kassala,15.451,15.451,28.11,70,0,6.84,SD,1726346840
155,flying fish cove,-10.4217,-10.4217,24.82,88,75,4.12,CX,1726346842
156,cururupu,-1.8283,-1.8283,25.28,77,31,2.09,BR,1726346843
157,carbonear,47.7332,47.7332,12.3,78,99,7.59,CA,1726346844
158,ceeldheer,3.8488,3.8488,24.77,84,15,10.57,SO,1726346845
159,crane,31.3974,31.3974,33.15,28,100,9.03,US,1726346847
160,bechar,31.6167,31.6167,30.18,30,0,2.06,DZ,1726346848
161,longyearbyen,78.2186,78.2186,7.91,76,75,4.12,SJ,1726346849
162,dryden,49.7833,49.7833,26.16,50,20,5.14,CA,1726346851
163,shar,49.5886,49.5886,7.95,72,0,1.2,KZ,1726346852
164,akjoujt,19.6969,19.6969,34.72,31,0,3.85,MR,1726346853
165,newnham,-41.3833,-41.3833,3.53,87,100,2.57,AU,1726346854
166,mosjoen,65.836,65.836,3.29,93,62,2.06,NO,1726346856
167,laranjeiras do sul,-25.4078,-25.4078,17.87,95,99,0.29,BR,1726346702
168,inarajan village,13.2736,13.2736,25.55,95,100,5.01,GU,1726346858
169,hermanus,-34.4187,-34.4187,11.0,88,2,1.13,ZA,1726346860
170,puerto cabezas,14.0351,14.0351,32.98,70,40,3.09,NI,1726346861
171,thompson,55.7435,55.7435,16.09,88,75,6.17,CA,1726346650
172,cherdakly,54.3594,54.3594,12.97,88,0,2.0,RU,1726346864
173,port lincoln,-34.7333,-34.7333,10.42,58,84,10.31,AU,1726346865
174,barra de santo antonio,-9.4047,-9.4047,23.93,73,14,4.41,BR,1726346866
175,mugia,43.1041,43.1041,15.51,74,8,5.44,ES,1726346868
176,yeppoon,-23.1333,-23.1333,17.74,74,0,4.84,AU,1726346869
177,fada,7.25,7.25,25.37,94,40,4.12,NG,1726346870
178,freetown,8.484,8.484,25.33,88,95,3.43,SL,1726346872
179,tchintabaraden,15.8969,15.8969,34.51,35,24,2.78,NE,1726346873
180,ar rutbah,33.0381,33.0381,25.85,36,0,3.98,IQ,1726346874
181,peniche,39.3558,39.3558,20.87,57,28,5.46,PT,1726346875
182,hammerfest,70.6634,70.6634,8.25,81,43,0.0,NO,1726346877
183,kirensk,57.7853,57.7853,5.28,89,92,1.54,RU,1726346878
184,mejit,10.2753,10.2753,28.22,83,100,10.07,MH,1726346881
185,san lorenzo,-25.3333,-25.3333,23.44,58,20,6.17,PY,1726346843
186,selendi,38.7444,38.7444,22.76,65,100,2.53,TR,1726346883
187,yarmouth,41.7057,41.7057,23.9,79,0,5.66,US,1726346885
188,buchanan,5.8808,5.8808,24.77,84,55,4.35,LR,1726346886
189,san julian,21.0167,21.0167,24.86,57,77,3.39,MX,1726346773
190,shingu,33.7333,33.7333,25.17,94,89,1.08,JP,1726346889
191,beau vallon,-20.4189,-20.4189,21.13,46,40,6.69,MU,1726346890
192,el calafate,-50.3408,-50.3408,5.12,71,71,3.94,AR,1726346891
193,nabire,-3.3667,-3.3667,24.26,92,100,1.43,ID,1726346893
194,nobres,-14.7203,-14.7203,39.4,12,10,3.13,BR,1726346894
195,bilibino,68.0546,68.0546,5.56,85,100,0.76,RU,1726346895
196,utrik,11.2278,11.2278,28.72,79,100,8.87,MH,1726346896
197,ajdabiya,30.7554,30.7554,26.17,62,23,8.66,LY,1726346898
198,inhambane,-23.865,-23.865,21.74,84,85,0.74,MZ,1726346899
199,beboto,8.2668,8.2668,23.48,88,52,0.11,TD,1726346900
200,concepcion del oro,24.6333,24.6333,23.31,41,67,1.58,MX,1726346902
201,klyuchi,52.2667,52.2667,9.98,75,2,2.98,RU,1726346369
202,beledweyne,4.7358,4.7358,25.5,61,38,10.3,SO,1726346904
203,talara,-4.5772,-4.5772,22.42,88,0,6.17,PE,1726346607
204,badiyah,22.45,22.45,27.17,60,1,2.03,OM,1726346907
205,jinghong,21.991,21.991,19.93,97,8,1.14,CN,1726346909
206,malindi,-3.2175,-3.2175,24.23,80,7,6.41,KE,1726346910
207,necochea,-38.5473,-38.5473,9.72,58,0,2.57,AR,1726346911
208,cabo san lucas,22.8909,22.8909,29.86,88,20,10.29,MX,1726346349
209,tilcara,-23.5776,-23.5776,4.49,79,80,3.34,AR,1726346914
210,kenai,60.5544,60.5544,10.08,100,100,2.06,US,1726346915
211,vila velha,-20.3297,-20.3297,25.97,79,0,8.75,BR,1726346643
212,tra vinh,9.9347,9.9347,24.61,94,100,4.19,VN,1726346918
213,nadym,65.5333,65.5333,4.18,67,14,3.15,RU,1726346919
214,lazaro cardenas,17.9583,17.9583,29.88,75,97,3.09,MX,1726346672
215,tromso,69.6496,69.6496,11.01,62,75,10.8,NO,1726346922
216,magdagachi,53.45,53.45,3.53,79,32,0.79,RU,1726346923
217,mahina,-17.5065,-17.5065,26.87,78,75,6.17,PF,1726346924
218,trevelin,-43.0858,-43.0858,8.25,65,49,4.18,AR,1726346925
219,khorixas,-20.3667,-20.3667,19.26,27,6,2.16,NA,1726346928
220,kardzhali,41.65,41.65,15.52,78,62,2.07,BG,1726346931
221,sao joao da barra,-21.6403,-21.6403,26.05,84,14,11.18,BR,1726346934
222,el charco,2.4769,2.4769,28.73,72,83,3.89,CO,1726346935
223,macas,-2.3167,-2.3167,29.86,45,40,4.63,EC,1726346936
224,piti village,13.4626,13.4626,25.49,94,40,2.57,GU,1726346938
225,arvayheer,46.2639,46.2639,5.94,81,69,1.05,MN,1726346939
226,barcelos,41.5388,41.5388,16.33,50,54,1.56,PT,1726346940
227,bethanie,-26.4833,-26.4833,12.64,36,0,2.28,NA,1726346942
228,inirida,3.8653,3.8653,33.92,52,1,1.14,CO,1726346943
229,lubuklinggau,-3.3,-3.3,20.87,87,69,1.17,ID,1726346944
230,haikou,20.0458,20.0458,26.07,94,82,1.0,CN,1726346799
231,pacific grove,36.6177,36.6177,20.23,89,40,5.66,US,1726346947
232,rosenfeld,48.2864,48.2864,8.19,91,70,0.67,DE,1726346949
233,grand baie,-20.0182,-20.0182,20.81,64,1,1.79,MU,1726346950
234,saudarkrokur,65.7461,65.7461,4.22,77,100,3.34,IS,1726346951
235,kailua-kona,19.6406,19.6406,28.88,69,25,3.13,US,1726346727
236,colonia,50.9333,50.9333,9.97,81,1,0.69,DE,1726346954
237,geraldton,-28.7667,-28.7667,17.23,36,0,9.26,AU,1726346955
238,svetlyy,54.675,54.675,16.71,91,100,8.37,RU,1726346956
239,uturoa,-16.7333,-16.7333,25.8,82,0,4.18,PF,1726346957
